created_date,address,borough,status,latitude,longitude
2026-03-21 16:50:00,88-14 192 STREET,QUEENS,Closed,40.7159604611,-73.76987103562
2026-03-21 16:47:00,2167 EAST   19 STREET,BROOKLYN,Closed,40.59793271253,-73.95234517012
2026-03-21 16:28:00,73-12 YELLOWSTONE BOULEVARD,QUEENS,Closed,40.71723013933,-73.85730984957
2026-03-21 15:46:00,736 MANOR COURT,BROOKLYN,Started,40.58639417606,-73.96124618768
2026-03-21 15:01:00,196-43 FOOTHILL AVENUE,QUEENS,Closed,40.71823003252,-73.76696641595
2026-03-21 14:43:00,37-01 ASTORIA BOULEVARD,QUEENS,Closed,40.76978153958,-73.91264322888
2026-03-21 14:34:00,493 PROSPECT PLACE,BROOKLYN,Closed,40.6758986994,-73.9604010453
2026-03-21 14:14:00,,QUEENS,Closed,40.74578614441,-73.88933211478
2026-03-21 13:54:00,,QUEENS,Closed,40.65581407943,-73.73421794246
2026-03-21 12:11:00,165 CENTRAL AVENUE,BROOKLYN,Closed,40.69890248175,-73.92657023083
2026-03-21 11:23:00,88 CLAY STREET,BROOKLYN,Closed,40.73659991043,-73.95497036249
2026-03-21 10:39:00,1414 EAST   53 STREET,BROOKLYN,Open,40.62433372965,-73.92454128383
2026-03-21 10:16:00,65-51 79 PLACE,QUEENS,Closed,40.71679859738,-73.87320121737
2026-03-21 09:35:00,217 BEACH   44 STREET,QUEENS,Closed,40.59322426064,-73.77534220507
2026-03-21 09:32:00,129-26 MERRICK BOULEVARD,QUEENS,Closed,40.68048446839,-73.76322610545
2026-03-21 09:04:00,59 CRESCENT STREET,BROOKLYN,Closed,40.68797070105,-73.87356974185
2026-03-21 06:26:00,314 COVERT STREET,BROOKLYN,Closed,40.6929750778,-73.90574447104
2026-03-21 02:28:00,,STATEN ISLAND,Started,40.58124222955,-74.09843949172
2026-03-21 00:32:00,852 FLUSHING AVENUE,BROOKLYN,Closed,40.7016785827,-73.93782680314
2026-03-20 18:18:00,1647 HONE AVENUE,BRONX,Closed,40.84653741785,-73.85289037342
2026-03-20 18:04:00,,QUEENS,Closed,40.72731231502,-73.73515587924
2026-03-20 17:59:00,144-12 NORTHERN BOULEVARD,QUEENS,Closed,40.76469704793,-73.82303987214
