asset_id,gi_id,borough,sewer_type,asset_type,status,status_group,constructed_date,outfall,nyc_waters,latitude,longitude
148918,5074A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-11-08,BB-026,Newtown Creek,40.74622841693734,-73.93131530470207
182250,IB2055A,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-05-14,26W-005,Jamaica Bay and Tributaries,40.66188908601548,-73.88659461124426
94892,732C,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-06-11,JAM-003,Jamaica Bay and Tributaries,40.68922845157655,-73.83123468216121
95084,840C,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-06-11,JAM-003,Jamaica Bay and Tributaries,40.682408956131454,-73.83043245360861
133802,588c,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-05-06,26W-005,Jamaica Bay and Tributaries,40.67201492790713,-73.84784410988863
141399,6090A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2020-12-31,BB-009,Newtown Creek,40.74010832082361,-73.91749059050096
182547,IB681E,Queens,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2022-09-30,BB-005,East River / Open Waters,40.7658085915645,-73.8801450777605
170625,Q335-2,Queens,Combined,Subsurface Storage,Constructed (In Guarantee),Constructed,2024-08-12,BB-006,Flushing Bay,40.72365081544791,-73.8511474374366
133370,DPRHPUS-3,Brooklyn,Combined,Subsurface Storage,Constructed,Constructed,2022-04-14,26W-003,Jamaica Bay and Tributaries,40.67154692996008,-73.90813633300242
142530,1136A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-10-21,TI-011,Flushing Creek,40.76306180867995,-73.81436797307526
127634,1-19-1a,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-10-28,NCB-014,East River / Open Waters,40.66877448897602,-73.94721116793008
115670,399a,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2022-12-30,BB-005,East River / Open Waters,40.75243750144917,-73.90099709280206
157787,414e,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-05-31,NCB-015,Newtown Creek,40.69104187347633,-73.92859368675838
100912,2443d,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-07-21,26W-005,Jamaica Bay and Tributaries,40.668594140419536,-73.87925094391937
159007,GI-30,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2013-06-30,26W-003,Jamaica Bay and Tributaries,40.67412336803186,-73.90502418174565
