SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026158,27,NY0026158-027,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.759045,-73.947763
NY0026158,14,NY0026158-014,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.739793,-73.954983
NY0026107,25,NY0026107-025,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.641222,-74.165782
NY0026131,59,NY0026131-059,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.850635,-73.924224
NY0026247,14,NY0026247-014,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.861941,-73.916938
NY0026204,27,NY0026204-027,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.732308,-73.962099
NY0026131,36,NY0026131-036,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.805535,-73.931659
NY0026131,4,NY0026131-004,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.767643,-73.949569
NY0026204,21,NY0026204-021,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.738881,-73.952671
NY0026191,2,NY0026191-002,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.805224,-73.889828
NY0027073,3,NY0027073-003,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.705788,-73.981136
NY0026204,75,NY0026204-075,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.724824,-74.01188
NY0026131,48,NY0026131-048,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.828212,-73.934596
NY0026131,10,NY0026131-010,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.773045,-73.944405
NY0026204,60,NY0026204-060,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.710526,-73.978123
NY0026221,17,NY0026221-017,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.597375,-73.738578
NY0026107,3,NY0026107-003,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.641517,-74.118397
NY0026204,58,NY0026204-058,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.715925,-73.974537
NY0026131,6,NY0026131-006,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.768932,-73.94865
