Unique Key,Created Date,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Year,Month,Year_Month
45351528,2020-01-09 08:39:00,BROOKLYN,"999,509","180,778",40.6628574207,-73.94499978733,POINT (-73.944999787334 40.662857420703),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45347252,2020-01-09 10:58:00,QUEENS,"1,051,632","209,918",40.74259632234,-73.75683437105,POINT (-73.756834371053 40.742596322338),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45347250,2020-01-09 11:01:00,QUEENS,"1,051,365","210,170",40.74329002712,-73.75779539121,POINT (-73.757795391207 40.743290027123),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45345592,2020-01-09 11:29:00,BRONX,"1,024,978","259,601",40.87912504543,-73.85272063298,POINT (-73.852720632979 40.879125045426),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45346426,2020-01-09 11:50:00,BROOKLYN,"1,012,105","183,880",40.67134104747,-73.89958542311,POINT (-73.89958542311 40.671341047466),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45346427,2020-01-09 12:57:00,BROOKLYN,"1,006,266","160,871",40.60820274119,-73.92070951909,POINT (-73.920709519086 40.608202741189),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45350642,2020-01-09 13:56:00,BROOKLYN,"1,006,266","160,871",40.60820274119,-73.92070951909,POINT (-73.920709519086 40.608202741189),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45352412,2020-01-09 14:14:00,BROOKLYN,"1,006,266","160,871",40.60820274119,-73.92070951909,POINT (-73.920709519086 40.608202741189),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45348101,2020-01-09 18:31:00,QUEENS,"1,043,533","199,564",40.71423520405,-73.78615283135,POINT (-73.786152831346 40.714235204048),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45350673,2020-01-09 19:45:00,BROOKLYN,"1,006,266","160,871",40.60820274119,-73.92070951909,POINT (-73.920709519086 40.608202741189),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45347249,2020-01-09 20:39:00,QUEENS,"1,045,574","181,866",40.66564451235,-73.77895161346,POINT (-73.778951613463 40.665644512349),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45345588,2020-01-09 21:52:00,QUEENS,"997,480","209,216",40.74091631326,-73.9522573361,POINT (-73.952257336102 40.74091631326),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45353558,2020-01-09 23:12:00,BROOKLYN,"1,006,266","160,871",40.60820274119,-73.92070951909,POINT (-73.920709519086 40.608202741189),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45354035,2020-01-10 14:23:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45354441,2020-01-10 15:22:00,BROOKLYN,"982,836","160,501",40.6072144036,-74.00509243573,POINT (-74.005092435728 40.607214403603),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45356666,2020-01-10 16:02:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45357451,2020-01-10 16:31:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45355907,2020-01-10 16:34:00,BROOKLYN,"1,005,584","153,551",40.5881124968,-73.92318885316,POINT (-73.923188853162 40.588112496803),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45359795,2020-01-10 19:18:00,QUEENS,"1,023,563","148,302",40.57364354207,-73.85848769911,POINT (-73.858487699111 40.573643542065),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45357626,2020-01-10 21:41:00,BROOKLYN,"1,002,814","152,438",40.58506376838,-73.93316504215,POINT (-73.933165042146 40.585063768377),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45355886,2020-01-10 22:03:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45354439,2020-01-10 23:26:00,BROOKLYN,"1,002,926","152,105",40.58414951451,-73.93276273503,POINT (-73.932762735035 40.584149514514),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45362968,2020-01-11 18:31:00,QUEENS,"1,011,259","193,189",40.69689473372,-73.90259785437,POINT (-73.902597854372 40.696894733724),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45366714,2020-01-11 21:08:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45374171,2020-01-12 02:01:00,BRONX,"1,023,099","239,330",40.82349570554,-73.85963286662,POINT (-73.859632866617 40.823495705537),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45373979,2020-01-12 10:24:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45373137,2020-01-12 11:34:00,QUEENS,"1,011,259","193,189",40.69689473372,-73.90259785437,POINT (-73.902597854372 40.696894733724),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45370805,2020-01-12 12:25:00,BROOKLYN,"1,002,863","152,091",40.58411121981,-73.93298958587,POINT (-73.932989585866 40.58411121981),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
